ID,Inv_No,Photolink,PHI_link,Habicht_No_AvP8.3 page,"Habicht_image_Avp8,3_Taf",Habicht_cat,period,date_start,date_end,date,type,Content,Comments on content,Form,Material,Location found,Location - intended,Comments on location,Translations and other literature,X-coord,y-coord,Geo_notes ,Current_Location,Location_Code,current_x-coord,current_y-coord,Current_Network_Beeline,Relation,Relation to,Pleiades2,x-coord_Network,y-coord_Network,Beeline,Festival,Asklepios,Other gods or heroes,Honoree,Dedicant,Pergamenes (pilgrims),Pergamenes (Roman citizens),Romans (other),Other (pilgrims),other prosopography (needs cleaning or omit),Profession or magistracy,cult role,References
"4",IvP III 1,,https://inscriptions.packhum.org/text/303001?bookid=747&location=1674,"1, pp. 21-23",Taf. 1,A. Urkunden,Late Hellenistic,"-46","-44",46-44 BC,Decree,"On Asylia of the sanctuary, when Publius Servilius Isauricus was proconsul of Asia. It concerns a legal dispute between the city and a Roman named Marcus Fannius","The dispute was likely won by the city, according to Habicht, because the decree was placed in the sanctuary.",Plate,White Marble,Found in 1927 in the Aiwas-Ali garden near the Asklepieion,"Very likely the Asklepieion, due to it concerning the asylia of the sanctuary", , ,,,outside temple,n,,,,Beelines__Point_IvP III 1,,,,,,Beelines_Point_IvP III 1,,,,,,"Apollophanes Orestos; Asklepiades Matronos; Perseus of Perseus of Dionos; Herodes of Herodes; Kleitos Timonos; Kriton of Menodoros; Menemachos, son of Zenokleos; Moirophanes, son of Metrodoros; Neon, son of Meleagros",,"M. Fannius Numerii; P. Servilius Isauricus",,"Marcus Fannius; Publius Servilius Isauricus (proconsul of Asia); Apollophanes Orestos; Asklepiades matronos; Perseus of Dionos; Herodes of Herodes; Kleitos Timonos; Kriton of Menodoros; Menemachos, son of Zenokleos; Moirophanes, son of Metrodoros; Neon, son of Meleagros",Senator,,
"5",IvP III 2,,https://inscriptions.packhum.org/text/303002?bookid=747&location=1674,"2, pp. 23-26",Taf. 2,A. Urkunden,Imperial,"150","200",ca. 150-200AD,Decree,State consultation of oracle in Didyma for the burial of the Heroes Marcellus and Rufinus. ,Not very careful writing according to Habicht. Reply missing,Block,Marble,Found in the peristasiswall of the Northern hall,Likely in the northern hall, ,"German translation in Habicht, p.24",9514355.143,4331946.815,,n,,,,Beelines__Point_IvP III 2,Didyma,Didyma (delagation from Pergamon),https://pleiades.stoa.org/places/599593,27.256115,37.384829,Beelines_Point_IvP III 2,,,Apollo,"Marcellus; Rufinus (heroes)",,,L. Cuspius Pactumeius Rufinus,,,"L. Cuspius Pactumeius Rufinus; Marcellus",Senator,,
"6",IvP III 3,,https://inscriptions.packhum.org/text/303003?bookid=747&location=1674,"3, pp. 26-28","Taf. 1, 2",B.a Ehreninschriften aus der Königszeit,Hellenistic,"-200","-150",ca. 200-150BC,Honorific,Honours for Athenaios after being agonothetes of the second Soteria and Herakleia, ,Statue base,Marble,"Found in the Roman temple of Asklepios (Temple of Rufinus, sponsor of the round temple)", , , ,9514316.448,4331870.98,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 3,,,,,,Beelines_Point_IvP III 3,Soteria and Herakleia,,Herakles,Athenaios (brother of Eumenes II),,,,,,,,agonothete,
"7",IvP III 4,,https://inscriptions.packhum.org/text/303004?bookid=747&location=1674,"4, pp. 28",Taf. 2,B.a Ehreninschriften aus der Königszeit,Hellenistic,"-200","-100",ca. 200-100 BC,Honorific,Honours for a Pergamene citizen by the Ionian League , ,Fragment of statue base,Light marble without profile,Not stated, , , ,9514476.239,4331880.294,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 4,Ionian League,Pergamon (honored by Ionian League),,27.329993,37.703924,Beelines_Point_IvP III 4,,,,(Pergamene citizen),Ionian League,,,,,(Pergamene citizen),,,
"8",IvP III 5,,https://inscriptions.packhum.org/text/303005?bookid=747&location=1674,"5, pp. 28-29",Taf. 2,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"100","200",100-200 AD,Honorific,"Honouring Hadrian; originally included a statue of him", ,Fragment of statue base,White Marble,Not stated, ,"A head of Hadrian was found in the Hallenstra?e, which might have belonged to the base", ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 5,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 5,,,,Hadrian,,,,,,"Trajan; Nerva",,,
"9",IvP III 6,,https://inscriptions.packhum.org/text/303006?bookid=747&location=1674,"6, pp. 29-30",Taf. 2,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"100","200",100-200 AD,honorific,Honours Hadrian as a god - θεὸν Ἁδριανόν - by Fl. Melitine,"Dedicated by Flavia Melitine, see IvP III 38",Base for a head ,Blue-Grey marble,Found in the library (square building to the east of the northern hall) , , , ,9514428.209,4331932.8,,n,,,,Beelines__Point_IvP III 6,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 6,,,Hadrian,Hadrian,Flavia Melitine,,Flavia Melitine,,,,,,
"10",IvP III 7,https://drive.google.com/file/d/1xFJj1m7OyPJPvROfj7dVUahrZPUByxcz/view?usp=sharing,https://inscriptions.packhum.org/text/303007?bookid=747&location=1674,"7, pp. 30",Taf. 3,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"137","137",137 AD,Honorific,Honour of the adopted L. Ceionius Commodus as L. Aelius Caesar (but died before Hadrian),Placed by the high priest of Asia Claudius or Flavius Temon. The last two lines in smaller font,Statue Base,White Marble,Found in the centre of the northern hall,unclear, , ,9514355.143,4331946.815,,y,B024,9514358.317,4331931.044,Beelines__Point_IvP III 7,"Rome; Asia (province); Oikoumene; Pergamon",,https://pleiades.stoa.org/places/1043,13.1429686581,36.4039411505,Beelines_Point_IvP III 7,,,,L. Aelius Caesar,,,[F?]lavius Temnon,,,"L. Ceionius Commodus (consul); Trajan; Nerva; Hadrian; [F?]lavius Temnon",,Archiereus,
"11",IvP III 8,https://drive.google.com/file/d/1iKpCQ5zOpwGYaVf4urmF3udXLqQsSFDO/view?usp=sharing,https://inscriptions.packhum.org/text/303008?bookid=747&location=1674,"8, pp.30-31",Taf. 3,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"138","161",138-161 AD,Honorific,"Honour for Antonius Pius, placed by Antonius Claudius Charax",Charax is also mentioned in no. 141 as donor of the Propylon. He was philosopher and historian,Statue Base,White Marble,East of the Roman Baths, , , ,9514330.03117595,4331927.49574165,,y,B065,9514333.043,4331928.378,Beelines__Point_IvP III 8,"Rome; Oikoumene",,https://pleiades.stoa.org/places/1043,13.1429686581,36.4039411505,Beelines_Point_IvP III 8,,,,Antoninus Pius,A. Claudius Charax,,A. Claudius Charax,,,,"Senator; Sophist",,
"12",IvP III 9,,https://inscriptions.packhum.org/text/303009?bookid=747&location=1674,"9, pp. 31-32",,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"138","161",138-161 AD,honorific,Statue base for Antonius Pius,Unkown dedicant. The Boule is mentioned,Upper corner of a statue base,Light Marble,Found at the fountain in front of the theatre, , , ,9514341.941,4331924.837,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 9,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 9,,,,Antoninus Pius,A. Claudius Charax,,A. Claudius Charax,,,Hadrian,"Senator; Sophist",Archiereus megiston,
"13",IvP III 10,https://drive.google.com/file/d/1SEuYdYhInysdzBIC53L-KUZrtEK49_-q/view?usp=sharing,https://inscriptions.packhum.org/text/303010?bookid=747&location=1674,"10, pp. 32",Taf. 3,B.b. Ehreninschriften. Für Angehörige des Kaiserhauses,Imperial,"162","162",162 AD,Honorific,Statue base for Marcus Aurelius as Soter and Ktistes, ,Large statue base,White Marble,"Found in front of northern hall, in front of the 13th pillar from the east", , , ,9514379.253,4331940.225,,y,B015,9514379.565,4331931.46,Beelines__Point_IvP III 10,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 10,,,,Marcus Aurelius,L. Cuspius Pactrumeius Rufinus,,"L. Cuspius Pactrumeius Rufinus; Quintilius",,,"Trajan; Nerva; Hadrian; Antoninus Pius; L. Cuspius Pactrumeius Rufinus; Quintilius",Senator,,
